"classifier_name","dataset_name","accuracy"
"Spatial-Temporal","Libras",0.916666666666667
"Spatial-Temporal","LSST",0.538523925385239
"Spatial-Temporal","MotorImagery",0.51
"Spatial-Temporal","NATOPS",0.95
"Spatial-Temporal","PenDigits",0.985991995425958
"Spatial-Temporal","PEMS-SF",0.791907514450867
"Spatial-Temporal","PhonemeSpectra",0.264240978228452
"Spatial-Temporal","RacketSports",0.842105263157895
"Spatial-Temporal","SelfRegulationSCP1",0.822525597269625
"Spatial-Temporal","SelfRegulationSCP2",0.588888888888889
"Spatial-Temporal","StandWalkJump",0.266666666666667
"Spatial-Temporal","UWaveGestureLibrary",0.80625
"1D","ArticularyWordRecognition",0.98
"1D","AtrialFibrillation",0.333333333333333
"1D","BasicMotions",0.5
"1D","Cricket",0.986111111111111
"1D","DuckDuckGeese",0.52
"1D","Epilepsy",0.985507246376812
"1D","EthanolConcentration",0.26615969581749
"1D","EigenWorms",0.053435114503817
"1D","Ering",0.651851851851852
"1D","FaceDetection",0.528660612939841
"1D","FingerMovements",0.57
"1D","HandMovementDirection",0.364864864864865
"1D","Handwriting",0.047058823529412
"1D","Heartbeat",0.648780487804878
"1D","Libras",0.833333333333333
"1D","LSST",0.430656934306569
"1D","MotorImagery",0.5
"1D","NATOPS",0.977777777777778
"1D","PenDigits",0.982847341337907
"1D","PEMS-SF",0.745664739884393
"1D","PhonemeSpectra",0.243662391887862
"1D","RacketSports",0.855263157894737
"1D","SelfRegulationSCP1",0.870307167235495
"1D","SelfRegulationSCP2",0.566666666666667
"1D","StandWalkJump",0.466666666666667
"1D","UWaveGestureLibrary",0.859375
